ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.02,1.5,Ja'Marr Chase,WR,CIN,782,0.7,1,4,10
1.02,2.1,Bijan Robinson,RB,ATL,547,0.8,1,4,5
1.02,2.2,Saquon Barkley,RB,PHI,376,0.9,1,5,9
1.04,4.2,Jahmyr Gibbs,RB,DET,1017,1.0,1,8,8
1.05,4.8,Justin Jefferson,WR,MIN,1015,1.3,1,9,6
1.06,5.9,CeeDee Lamb,WR,DAL,717,1.4,2,11,10
1.08,7.7,De'Von Achane,RB,MIA,407,1.8,2,13,12
1.08,8.0,Puka Nacua,WR,LAR,475,1.6,3,16,8
1.08,8.2,Christian McCaffrey,RB,SF,869,2.2,2,16,14
1.09,9.3,Derrick Henry,RB,BAL,958,2.5,2,16,7
1.10,9.5,Malik Nabers,WR,NYG,562,2.2,3,16,14
1.11,10.6,Ashton Jeanty,RB,LV,961,2.9,3,19,8
2.01,12.6,Nico Collins,WR,HOU,645,2.1,7,20,6
2.02,13.6,Amon-Ra St. Brown,WR,DET,1118,2.6,6,22,8
2.02,14.5,Josh Jacobs,RB,GB,461,2.5,7,21,5
2.04,15.8,Brian Thomas Jr.,WR,JAX,608,2.9,8,24,8
2.05,16.5,Bucky Irving,RB,TB,529,2.5,10,24,9
2.06,17.8,Jonathan Taylor,RB,IND,667,2.8,10,28,11
2.07,19.3,Lamar Jackson,QB,BAL,615,4.2,8,28,7
2.07,19.5,Kyren Williams,RB,LAR,638,2.7,12,27,8
2.08,20.0,Drake London,WR,ATL,707,3.4,11,31,5
2.08,20.3,A.J. Brown,WR,PHI,965,3.1,12,32,9
2.10,21.7,Ladd McConkey,WR,LAC,588,3.5,12,31,12
2.11,23.2,Josh Allen,QB,BUF,633,4.5,11,33,7
2.12,24.0,Tee Higgins,WR,CIN,187,2.9,16,32,10
3.02,25.5,Chase Brown,RB,CIN,1257,4.1,14,36,10
3.02,25.8,Alvin Kamara,RB,NO,384,3.6,16,36,11
3.04,28.0,Davante Adams,WR,LAR,424,3.9,17,38,8
3.04,28.2,James Cook,RB,BUF,637,4.2,17,42,7
3.04,28.4,Joe Burrow,QB,CIN,390,5.4,14,43,10
3.05,28.6,Tyreek Hill,WR,MIA,970,4.8,16,41,12
3.05,28.9,Brock Bowers,TE,LV,1325,4.4,17,43,8
3.07,30.6,Breece Hall,RB,NYJ,527,4.3,19,41,9
3.09,32.7,Trey McBride,TE,ARI,654,4.4,21,44,8
3.09,32.9,Jayden Daniels,QB,WAS,475,5.1,19,49,12
4.01,37.2,Terry McLaurin,WR,WAS,578,5.6,22,52,12
4.01,37.4,James Conner,RB,ARI,324,4.2,26,49,8
4.02,38.2,Mike Evans,WR,TB,664,5.4,24,57,9
4.02,38.3,Chuba Hubbard,RB,CAR,448,4.9,25,55,14
4.03,39.1,Rashee Rice,WR,KC,863,10.2,17,77,10
4.03,39.4,Kenneth Walker III,RB,SEA,822,4.8,26,53,8
4.04,40.0,Tom Kennedy,WR,DET,1,0.0,40,40,8
4.04,40.0,Jaxon Smith-Njigba,WR,SEA,640,5.3,26,54,8
4.05,40.6,Joe Mixon,RB,HOU,445,5.4,26,54,6
4.05,40.9,Jalen Hurts,QB,PHI,673,6.2,24,57,9
4.07,43.0,Marvin Harrison Jr.,WR,ARI,860,5.3,29,58,8
4.08,44.0,George Kittle,TE,SF,743,5.1,30,57,14
4.09,44.6,Garrett Wilson,WR,NYJ,1097,6.0,29,60,9
4.11,47.1,DJ Moore,WR,CHI,303,4.6,35,59,5
4.11,47.3,DK Metcalf,WR,PIT,674,4.7,35,62,5
5.01,48.7,Omarion Hampton,RB,LAC,1110,5.9,33,65,12
5.03,50.6,Baker Mayfield,QB,TB,169,6.2,34,66,9
5.03,51.1,Aaron Jones,RB,MIN,607,5.6,36,65,6
5.04,51.8,DeVonta Smith,WR,PHI,311,4.2,40,67,9
5.04,52.0,Jeremy Ruckert,TE,NYJ,1,0.0,52,52,9
5.05,52.5,Patrick Mahomes,QB,KC,359,6.6,35,69,10
5.05,53.4,Courtland Sutton,WR,DEN,607,4.3,42,70,12
5.06,53.9,Xavier Worthy,WR,KC,293,5.8,38,76,10
5.06,54.2,D'Andre Swift,RB,CHI,782,4.9,41,68,5
5.08,56.0,David Montgomery,RB,DET,603,5.6,41,71,8
5.10,57.7,Chris Godwin,WR,TB,382,6.0,42,85,9
5.10,58.5,Zay Flowers,WR,BAL,533,6.5,41,80,7
5.12,59.6,Tony Pollard,RB,TEN,310,5.7,44,74,10
6.02,62.4,Jerry Jeudy,WR,CLE,296,6.7,45,81,9
6.03,63.1,RJ Harvey,RB,DEN,785,7.1,44,92,12
6.04,63.8,Sam LaPorta,TE,DET,566,9.6,38,99,8
6.04,64.5,Travis Kelce,TE,KC,355,9.1,40,90,10
6.05,64.8,TreVeyon Henderson,RB,NE,679,6.6,47,82,14
6.06,65.7,Jakobi Meyers,WR,LV,333,7.9,45,87,8
6.06,66.1,George Pickens,WR,DAL,723,8.7,43,89,10
6.07,67.2,Calvin Ridley,WR,TEN,762,6.7,49,88,10
6.08,68.4,Quinshon Judkins,RB,CLE,273,7.2,49,93,9
6.10,70.4,Jaylen Waddle,WR,MIA,495,8.4,48,94,12
6.11,71.3,Bo Nix,QB,DEN,392,9.5,46,96,12
7.01,72.7,Jameson Williams,WR,DET,732,10.1,46,98,8
7.01,72.8,Kaleb Johnson,RB,PIT,654,7.8,52,92,5
7.01,73.3,Jauan Jennings,WR,SF,444,8.7,50,93,14
7.02,74.1,Travis Hunter,WR,JAX,521,8.9,50,93,8
7.02,74.5,Jordan Addison,WR,MIN,270,10.9,49,102,6
7.03,75.0,Jaylen Warren,RB,PIT,216,7.3,56,92,5
7.04,75.8,T.J. Hockenson,TE,MIN,244,8.9,52,96,6
7.04,75.9,David Njoku,TE,CLE,77,8.1,54,89,9
7.05,76.7,Tetairoa McMillan,WR,CAR,676,9.1,52,99,14
7.05,77.1,Brian Robinson Jr.,RB,WAS,551,7.9,56,95,12
7.06,77.6,Isiah Pacheco,RB,KC,882,8.6,55,99,10
7.06,77.9,Brock Purdy,QB,SF,116,9.9,60,97,14
7.08,79.7,Deebo Samuel Sr.,WR,WAS,591,8.5,57,96,12
7.09,81.0,Khalil Shakir,WR,BUF,416,8.8,61,101,7
7.10,82.4,Chris Olave,WR,NO,495,9.1,58,101,11
7.11,83.5,Mark Andrews,TE,BAL,212,12.2,51,145,7
8.01,84.5,Rome Odunze,WR,CHI,428,7.9,63,103,5
8.01,84.6,Tyrone Tracy Jr.,RB,NYG,424,10.7,56,118,14
8.01,84.8,Jared Goff,QB,DET,318,13.7,50,111,8
8.01,85.5,Dak Prescott,QB,DAL,685,11.8,54,118,10
8.02,86.2,Kyler Murray,QB,ARI,399,10.4,59,112,8
8.07,91.3,Nate Adkins,TE,DEN,3,14.2,76,104,12
8.09,93.0,Cooper Kupp,WR,SEA,673,8.6,70,115,8
8.10,93.5,Jayden Reed,WR,GB,228,6.4,76,109,5
8.10,93.9,Javonte Williams,RB,DAL,486,9.8,68,117,10
8.12,95.7,Travis Etienne Jr.,RB,JAX,554,10.4,68,132,8
9.01,96.8,Dallas Defense,DEF,DAL,81,9.2,72,111,10
9.01,97.1,Stefon Diggs,WR,NE,574,8.8,74,120,14
9.02,97.9,Darnell Mooney,WR,ATL,196,7.5,78,117,5
9.02,98.0,Evan Engram,TE,DEN,551,14.8,61,148,12
9.03,98.6,Michael Pittman Jr.,WR,IND,286,7.7,78,118,11
9.04,100.2,Cam Skattebo,RB,NYG,355,10.8,72,125,14
9.05,101.0,Caleb Williams,QB,CHI,382,11.0,72,130,5
9.06,102.0,Mac Jones,QB,SF,1,0.0,102,102,14
9.06,102.1,Josh Downs,WR,IND,209,8.1,81,122,11
9.08,103.8,Ricky Pearsall,WR,SF,493,7.8,83,129,14
9.08,103.8,J.J. McCarthy,QB,MIN,246,11.3,74,137,6
9.09,105.4,NY Giants Defense,DEF,NYG,29,5.9,92,115,14
9.09,105.4,Matthew Golden,WR,GB,251,8.4,83,125,5
9.10,106.5,Jordan Love,QB,GB,296,10.5,79,130,5
9.11,107.1,Philadelphia Defense,DEF,PHI,156,8.8,84,133,9
10.01,109.3,Denver Defense,DEF,DEN,347,9.9,83,132,12
10.01,109.5,Rashid Shaheed,WR,NO,80,9.6,84,125,11
10.02,110.0,Cole Kmet,TE,CHI,1,0.0,110,110,5
10.02,110.4,Justin Herbert,QB,LAC,264,12.1,79,150,12
10.03,111.2,Austin Ekeler,RB,WAS,216,10.8,83,143,12
10.04,111.6,Keon Coleman,WR,BUF,265,8.4,89,140,7
10.04,112.0,Najee Harris,RB,LAC,648,12.5,79,145,12
10.04,112.1,Justin Fields,QB,NYJ,403,10.8,84,149,9
10.04,112.5,Brashard Smith,RB,KC,6,13.5,104,137,10
10.05,112.6,Rhamondre Stevenson,RB,NE,438,13.0,78,148,14
10.06,113.5,Jake Ferguson,TE,DAL,225,18.3,65,151,10
10.10,118.5,Tucker Kraft,TE,GB,316,15.7,77,150,5
10.11,118.9,Pittsburgh Defense,DEF,PIT,218,11.9,92,177,5
10.11,119.1,Baltimore Defense,DEF,BAL,234,10.2,92,156,7
10.11,119.2,Tyjae Spears,RB,TEN,223,13.1,85,149,10
10.11,119.4,Zach Charbonnet,RB,SEA,472,13.3,84,149,8
10.12,119.8,Dallas Goedert,TE,PHI,237,18.4,72,151,9
10.12,120.0,Tahj Brooks,RB,CIN,1,0.0,120,120,10
11.01,121.0,Michael Carter,RB,ARI,1,0.0,121,121,8
11.02,122.0,Kenny Pickett,QB,CLE,1,0.0,122,122,9
11.02,122.0,C.J. Stroud,QB,HOU,303,12.1,90,149,6
11.02,122.1,J.K. Dobbins,RB,DEN,565,16.1,80,150,12
11.02,122.5,Adam Thielen,WR,CAR,76,9.4,98,143,14
11.03,123.0,James Proche II,WR,TEN,1,0.0,123,123,10
11.03,123.4,Trevor Lawrence,QB,JAX,105,11.9,92,150,8
11.04,123.6,Wan'Dale Robinson,WR,NYG,70,10.8,95,141,14
11.04,124.0,Drake Maye,QB,NE,212,14.0,87,152,14
11.05,125.4,Christian Kirk,WR,HOU,183,10.2,98,144,6
11.06,126.4,Jordan Mason,RB,MIN,606,15.7,85,161,6
11.09,129.0,Rachaad White,RB,TB,166,14.5,91,150,9
11.09,129.1,Marvin Mims Jr.,WR,DEN,151,11.5,99,150,12
11.09,129.1,Rashod Bateman,WR,BAL,123,10.6,101,148,7
11.09,129.3,Buffalo Defense,DEF,BUF,127,12.6,99,177,7
11.10,130.4,Marquise Brown,WR,KC,97,14.0,94,152,10
11.11,130.6,Dalton Kincaid,TE,BUF,399,18.4,82,173,7
11.11,130.8,Brandon Aiyuk,WR,SF,377,13.6,95,164,14
11.12,131.8,Cedric Tillman,WR,CLE,77,10.4,104,148,9
11.12,132.0,Jordan James,RB,SF,1,0.0,132,132,14
12.01,133.0,Israel Abanikanda,RB,SF,2,65.1,1,179,14
12.02,134.0,Tre Harris,WR,LAC,62,15.7,104,171,12
12.03,134.8,Brandon Aubrey,PK,DAL,672,18.8,85,180,10
12.03,135.2,Houston Defense,DEF,HOU,162,13.5,100,186,6
12.04,136.0,Jaydon Blue,RB,DAL,253,20.6,82,181,10
12.04,136.1,Jonnu Smith,TE,PIT,170,27.3,85,180,5
12.05,136.5,Tyler Warren,TE,IND,430,21.5,82,180,11
12.05,136.7,Tua Tagovailoa,QB,MIA,89,12.9,103,178,12
12.06,137.5,Mason Taylor,TE,NYJ,2,23.3,121,154,9
12.06,138.2,Matthew Stafford,QB,LAR,230,14.8,99,172,8
12.06,138.5,Emeka Egbuka,WR,TB,255,16.8,94,172,9
12.07,139.0,Jack Bech,WR,LV,53,13.5,103,165,8
12.07,139.4,Zach Ertz,TE,WAS,149,20.1,87,175,12
12.08,140.0,Romeo Doubs,WR,GB,31,16.4,97,161,5
12.09,141.0,Elijah Arroyo,TE,SEA,1,0.0,141,141,8
12.09,141.2,Detroit Defense,DEF,DET,155,12.0,118,179,8
12.10,142.0,Devaughn Vele,WR,DEN,1,0.0,142,142,12
12.10,142.0,Grant Calcaterra,TE,PHI,1,0.0,142,142,9
12.10,142.0,Malik Washington,WR,MIA,1,0.0,142,142,12
12.11,143.2,Matt Gay,PK,WAS,65,18.3,107,186,12
12.11,143.2,Pat Freiermuth,TE,PIT,15,27.4,100,181,5
12.12,143.6,Isaac Guerendo,RB,SF,340,20.3,90,187,14
13.01,144.7,Tank Bigsby,RB,JAX,231,19.4,94,178,8
13.01,145.0,Harold Fannin Jr.,TE,CLE,1,0.0,145,145,9
13.02,145.6,Cameron Dicker,PK,LAC,125,15.9,104,186,12
13.02,146.1,Jerome Ford,RB,CLE,50,26.7,101,200,9
13.02,146.2,Jayden Higgins,WR,HOU,94,15.6,105,176,6
13.02,146.4,Mike Gesicki,TE,CIN,33,25.6,87,180,10
13.02,146.5,Dylan Sampson,RB,CLE,8,20.3,116,171,9
13.03,146.6,Chicago Defense,DEF,CHI,96,18.3,113,200,5
13.04,148.0,Cam Akers,RB,NO,1,0.0,148,148,11
13.04,148.4,Younghoe Koo,PK,ATL,98,21.3,93,204,5
13.06,150.0,Theo Johnson,TE,NYG,2,59.4,1,192,14
13.06,150.1,Isaiah Likely,TE,BAL,31,30.5,70,186,7
13.06,150.3,Geno Smith,QB,LV,51,14.2,127,181,8
13.07,151.0,Jaxson Dart,QB,NYG,4,32.3,107,178,14
13.08,151.5,Bryce Young,QB,CAR,106,17.1,107,195,14
13.08,151.7,Colston Loveland,TE,CHI,152,20.0,99,198,5
13.08,151.7,Tyler Allgeier,RB,ATL,100,16.3,110,180,5
13.08,151.9,Jake Bates,PK,DET,130,15.6,111,189,8
13.08,152.0,Seattle Defense,DEF,SEA,25,20.2,120,185,8
13.08,152.3,LA Rams Defense,DEF,LAR,148,16.7,120,204,8
13.08,152.5,Dalton Schultz,TE,HOU,4,23.0,127,172,6
13.09,153.0,Indianapolis Defense,DEF,IND,1,0.0,153,153,11
13.09,153.1,Hunter Henry,TE,NE,56,20.6,109,195,14
13.09,153.1,Darren Waller,TE,MIA,54,21.7,96,198,12
13.09,153.4,Minnesota Defense,DEF,MIN,234,18.3,105,209,6
13.09,153.4,Bhayshul Tuten,RB,JAX,39,22.5,102,190,8
13.09,153.4,Roschon Johnson,RB,CHI,88,18.0,113,183,5
13.09,153.5,Brandon McManus,PK,GB,26,20.2,113,180,5
13.10,153.6,Ray Davis,RB,BUF,102,21.0,99,194,7
13.10,153.8,Cade Otton,TE,TB,22,21.5,112,200,9
13.10,154.2,Green Bay Defense,DEF,GB,78,18.7,105,189,5
13.10,154.2,Harrison Butker,PK,KC,115,16.0,112,198,10
13.10,154.5,San Francisco Defense,DEF,SF,197,17.2,115,209,14
13.11,154.8,Quentin Johnston,WR,LAC,47,13.1,121,176,12
13.11,155.0,Will Shipley,RB,PHI,2,15.6,144,166,9
13.11,155.1,Rico Dowdle,RB,CAR,33,19.2,118,185,14
13.12,155.5,Tyler Bass,PK,BUF,38,19.5,121,209,7
13.12,155.7,Shedeur Sanders,QB,CLE,3,30.1,121,175,9
13.12,155.7,Anthony Richardson Sr.,QB,IND,9,16.2,132,184,11
13.12,155.8,Blake Corum,RB,LAR,11,21.1,126,203,8
13.12,156.0,Marquez Valdes-Scantling,WR,SEA,2,1.4,155,157,8
13.12,156.0,Michael Mayer,TE,LV,1,0.0,156,156,8
13.12,156.2,Aaron Rodgers,QB,PIT,93,25.2,108,207,5
13.12,156.4,Ka'imi Fairbairn,PK,HOU,106,19.7,105,210,6
13.12,156.5,Trey Benson,RB,ARI,90,19.8,104,190,8
14.01,156.6,Michael Penix Jr.,QB,ATL,169,15.7,115,180,5
14.01,156.9,Chase McLaughlin,PK,TB,58,17.6,111,192,9
14.01,157.0,Joe Flacco,QB,CLE,2,32.5,134,180,9
14.01,157.2,Jake Elliott,PK,PHI,76,16.5,116,208,9
14.01,157.3,Justice Hill,RB,BAL,59,18.6,108,177,7
14.02,157.5,Cam Ward,QB,TEN,59,18.0,113,205,10
14.02,157.9,Arizona Defense,DEF,ARI,7,32.3,113,202,8
14.02,157.9,Dont'e Thornton Jr.,WR,LV,19,19.5,117,178,8
14.02,158.0,Pat Bryant,WR,DEN,3,12.1,144,165,12
14.02,158.3,Kyle Williams,WR,NE,43,20.1,106,184,14
14.02,158.4,Will Reichard,PK,MIN,8,25.4,107,180,6
14.02,158.5,Braelon Allen,RB,NYJ,20,22.4,124,207,9
14.03,158.5,Chris Boswell,PK,PIT,121,18.4,110,207,5
14.03,158.7,Cairo Santos,PK,CHI,3,24.4,131,177,5
14.03,159.0,Tyler Shough,QB,NO,1,0.0,159,159,11
14.03,159.5,DeMario Douglas,WR,NE,33,16.8,121,185,14
14.04,159.8,Xavier Legette,WR,CAR,54,14.5,121,180,14
